start: 2023-03-25 09:39:12
n - Package - success  - n1 - n2
0 - 02 - True - 5 - 5
1 - 03 - True - 11 - 10
2 - 04 - True - 6 - 6
3 - 05 - True - 5 - 5
4 - 06 - True - 5 - 5
5 - 062019 - True - 1 - 1
6 - 14 - True - 6 - 6
7 - 17 - True - 85 - 10
8 - 18 - True - 16 - 10
9 - 19 - True - 10 - 10
10 - 1minrain - True - 133 - 10
11 - 20 - True - 10 - 10
12 - 2002-31-10-2016 - True - 85 - 10
13 - 2004-1997 - True - 8 - 8
14 - 2005 - True - 12 - 10
15 - 2005-2008 - True - 15 - 10
16 - 2005-2011 - True - 24 - 10
17 - 2006 - True - 12 - 10
18 - 2007 - True - 10 - 10
19 - 2008 - True - 8 - 8
20 - 2009 - True - 15 - 10
21 - 2009-2011 - True - 26 - 10
22 - 2009-2018 - True - 66 - 10
23 - 2010 - True - 17 - 10
24 - 2010-2019 - True - 66 - 10
25 - 2011 - True - 18 - 10
26 - 2012-2005 - True - 38 - 10
27 - 2013 - True - 20 - 10
28 - 2014 - True - 22 - 10
29 - 2015-2013 - True - 131 - 10
30 - 2017 - True - 49 - 10
31 - 2017-2018 - True - 91 - 10
32 - 2018 - True - 56 - 10
33 - 2018-2017 - True - 91 - 10
34 - 2019infrastructure - True - 55 - 10
35 - 2020 - True - 58 - 10
36 - 2021 - True - 36 - 10
37 - 2030 - True - 3 - 3
38 - 206 - True - 1 - 1
39 - 209 - True - 1 - 1
40 - 21 - True - 7 - 7
41 - 257 - True - 1 - 1
42 - 258 - True - 1 - 1
43 - 276 - True - 1 - 1
44 - 278 - True - 1 - 1
45 - 280 - True - 1 - 1
46 - 285 - True - 1 - 1
47 - 287 - True - 1 - 1
48 - 288 - True - 1 - 1
49 - 289 - True - 2 - 2
50 - 29 - True - 2 - 2
51 - 290 - True - 1 - 1
52 - 291 - True - 1 - 1
53 - 292 - True - 1 - 1
54 - 293 - True - 1 - 1
55 - 294 - True - 1 - 1
56 - 30 - True - 18 - 10
57 - 30-2021 - True - 50 - 10
58 - 30-6-2022 - True - 63 - 10
59 - 30-9-2021 - True - 52 - 10
60 - 30-9-2022 - True - 55 - 10
61 - 31-2021 - True - 46 - 10
62 - 31-2022 - True - 46 - 10
63 - 321 - True - 1 - 1
64 - 334 - True - 1 - 1
65 - 335 - True - 1 - 1
66 - 343 - True - 1 - 1
67 - 345 - True - 1 - 1
68 - 348 - True - 1 - 1
69 - 350 - True - 1 - 1
70 - 351 - True - 1 - 1
71 - 352 - True - 1 - 1
72 - 353 - True - 1 - 1
73 - 354new - True - 4 - 4
74 - 355new - True - 4 - 4
75 - 356 - True - 1 - 1
76 - 357 - True - 1 - 1
77 - 358 - True - 1 - 1
78 - 360 - True - 1 - 1
79 - 361 - True - 1 - 1
80 - 362 - True - 1 - 1
81 - 363 - True - 1 - 1
82 - 364 - True - 1 - 1
83 - 365 - True - 1 - 1
84 - 366 - True - 1 - 1
85 - 367 - True - 1 - 1
86 - 371 - True - 1 - 1
87 - 374 - True - 1 - 1
88 - 375 - True - 1 - 1
89 - 377 - True - 1 - 1
90 - 379 - True - 1 - 1
91 - 381 - True - 1 - 1
92 - 408 - True - 1 - 1
93 - 425 - True - 1 - 1
94 - 46 - True - 2 - 2
95 - 48 - True - 1 - 1
96 - 481 - True - 1 - 1
97 - 486 - True - 1 - 1
98 - 49 - True - 1 - 1
99 - 50 - True - 2 - 2
100 - 500 - True - 6 - 6
101 - 502 - True - 2 - 2
102 - 502-2 - True - 135 - 10
103 - 503 - True - 1 - 1
104 - 504 - True - 1 - 1
105 - 506-1 - True - 134 - 10
106 - 506-2 - True - 135 - 10
107 - 507 - True - 1 - 1
108 - 508 - True - 1 - 1
109 - 51 - True - 1 - 1
110 - 510 - True - 2 - 2
111 - 517 - True - 1 - 1
112 - 518 - True - 1 - 1
113 - 519 - True - 2 - 2
114 - 52 - True - 2 - 2
115 - 520 - True - 1 - 1
116 - 521 - True - 1 - 1
117 - 53 - True - 1 - 1
118 - 531 - True - 1 - 1
119 - 532 - True - 1 - 1
120 - 534 - True - 1 - 1
121 - 535 - True - 1 - 1
122 - 536 - True - 1 - 1
123 - 537 - True - 2 - 2
124 - 538 - True - 2 - 2
125 - 538-1 - True - 134 - 10
126 - 539 - True - 1 - 1
127 - 54 - True - 4 - 4
128 - 541 - True - 1 - 1
129 - 542 - True - 1 - 1
130 - 543 - True - 1 - 1
131 - 544 - True - 1 - 1
132 - 545 - True - 1 - 1
133 - 547 - True - 1 - 1
134 - 548 - True - 1 - 1
135 - 549 - True - 1 - 1
136 - 551 - True - 1 - 1
137 - 552 - True - 1 - 1
138 - 557 - True - 1 - 1
139 - 558 - True - 1 - 1
140 - 559 - True - 1 - 1
141 - 56 - True - 1 - 1
142 - 564 - True - 1 - 1
143 - 566 - True - 1 - 1
144 - 568 - True - 1 - 1
145 - 591 - True - 1 - 1
146 - 609 - True - 1 - 1
147 - 61 - True - 3 - 3
148 - 62 - True - 4 - 4
149 - 642 - True - 1 - 1
150 - 643 - True - 1 - 1
151 - 650 - True - 2 - 2
152 - 651 - True - 2 - 2
153 - 652 - True - 1 - 1
154 - 653 - True - 1 - 1
155 - 659 - True - 1 - 1
156 - 671 - True - 1 - 1
157 - 673 - True - 1 - 1
158 - 6b1c032a-fdc1-4f92-bee1-14d6bf6af910 - True - 1 - 1
159 - 711 - True - 1 - 1
160 - 808 - True - 1 - 1
161 - 813 - True - 1 - 1
162 - 814 - True - 1 - 1
163 - 826 - True - 1 - 1
164 - 827 - True - 1 - 1
165 - 828 - True - 1 - 1
166 - 829 - True - 1 - 1
167 - 830 - True - 1 - 1
168 - 831 - True - 1 - 1
169 - 832 - True - 1 - 1
170 - 833 - True - 1 - 1
171 - 860 - True - 1 - 1
172 - 861 - True - 1 - 1
173 - 862 - True - 1 - 1
174 - 863 - True - 1 - 1
175 - 864 - True - 1 - 1
176 - 865 - True - 1 - 1
177 - 926 - True - 1 - 1
178 - 928 - True - 1 - 1
179 - 930 - True - 1 - 1
180 - 931 - True - 1 - 1
181 - 932 - True - 1 - 1
182 - 933 - True - 1 - 1
183 - 934 - True - 1 - 1
184 - 935 - True - 1 - 1
185 - 943 - True - 1 - 1
186 - 944 - True - 1 - 1
187 - 945 - True - 1 - 1
188 - 946 - True - 1 - 1
189 - 947 - True - 1 - 1
190 - 953 - True - 1 - 1
191 - 958 - True - 1 - 1
192 - 961 - True - 1 - 1
193 - 969 - True - 1 - 1
194 - 982 - True - 1 - 1
195 - 983 - True - 1 - 1
196 - 991 - True - 1 - 1
197 - a2016 - True - 76 - 10
198 - academic - True - 1 - 1
199 - accessibilityorders - True - 1 - 1
200 - accidents2018 - True - 58 - 10
201 - accidents_municipal - True - 10 - 10
202 - accid_taz - True - 8 - 8
203 - acquifer - True - 1 - 1
204 - addresses-br7 - True - 66 - 10
205 - afq - True - 1 - 1
206 - aidtools - True - 1 - 1
207 - aircraft_data_il - True - 261 - 10
208 - airport - True - 5 - 5
209 - air-stations - True - 11 - 10
210 - airstrip - True - 1 - 1
211 - alhakav - True - 1 - 1
212 - aluyot-pituach - True - 1 - 1
213 - ambrosia - True - 1 - 1
214 - amount_monthly_closures_vehicles - True - 54 - 10
215 - antennaactive - True - 1 - 1
216 - antenna_hakama - True - 1 - 1
217 - ap - True - 1 - 1
218 - applying-to-social-services-departments - True - 100 - 10
219 - approved-items-by-personal-import - True - 19 - 10
220 - aquifer_level_history - True - 7 - 7
221 - aquifer-sensitivity - True - 3 - 3
222 - ararim - True - 1 - 1
223 - arb - True - 1 - 1
224 - archivesfreedomofinformationforzover - True - 1 - 1
225 - archivespermissiontostreamforzover - True - 1 - 1
226 - archivespermitflowingtoseaforzover-csv - True - 155 - 10
227 - archives-yco - True - 1 - 1
228 - ard - True - 1 - 1
229 - arl - True - 1 - 1
230 - arrivaltostationdayandhours - True - 1 - 1
231 - arrivaltostationhours - True - 1 - 1
232 - asbest - True - 4 - 4
233 - asbest-permit-03-2016 - True - 81 - 10
234 - asbestsamplinganalysis - True - 1 - 1
235 - asbest-waste-sites - True - 9 - 9
236 - asd - True - 1 - 1
237 - asq - True - 1 - 1
238 - assb122019 - True - 12 - 10
239 - assb32018 - True - 11 - 10
240 - assb32019 - True - 11 - 10
241 - assb32020 - True - 11 - 10
242 - assb62017 - True - 11 - 10
243 - assb62018 - True - 11 - 10
244 - assb62020 - True - 11 - 10
245 - assb92017 - True - 11 - 10
246 - assb92018 - True - 11 - 10
247 - assb92019 - True - 11 - 10
