n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
0|1|02|dataset|2023-02-13|מחקרים ממומנים|science-and-technology|No|Year|1|5|--|avi@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|other-open|אחר (פתוח)|רשימת המחקרים הממומנים ע"י משרד המדע
2|5|04|dataset|2020-07-08|הסכמי שיתוף פעולה בינלאומיים בתחום המדע|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|הסכמי שיתוף פעולה בינלאומיים בתחום המדע
3|4|05|dataset|2020-07-08|מדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי|science-and-technology|No|NA|1|1|--|ilana@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||המדינות עימן חתמה ישראל על הסכמי שיתוף פעולה מדעי דו-לאומי
4|4|06|dataset|2020-07-08|חברי המועצה לקידום נשים במדע ובטכנולוגיה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חברי המועצה לקידום נשים במדע ובטכנולוגיה
5|0|062019|dataset|2020-07-08|ביצוע תקציב על שינוייו יוני 2019 לא מבוקר|mof|No|NA|1|1|--|shimritl@cio.gov.il|משרד האוצר|cc-by|Creative Commons Attribution|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2019.
6|5|14|dataset|2020-07-08|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה
9|8|19|dataset|2020-07-08|חוגי מדע|science-and-technology|No|NA|1|2|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||חוגי מדע לילדים ונוער ברשויות המקומיות
11|9|20|dataset|2020-07-08|חוגי מדע - דרכי התקשרות עם מפעילי החוגים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||דרכי התקשורת עם רשתות החוגים ברשויות המקומיות
13|5|2004-1997|dataset|2020-07-08|תקציב וביצוע 2004-1997 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2004-1997
18|7|2007|dataset|2020-07-08|שינויי תקציב 2007|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
19|4|2008|dataset|2020-07-08|שינויי תקציב 2008|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
20|7|2009|dataset|2021-10-17|שינויי תקציב 2009|mof|No|NA|2|4|--|talid@mof.gov.il|משרד האוצר|other-open|Other (Open)|
37|2|2030|dataset|2020-11-02|צפיפות מקומות עבודה לשנת 2030|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|צפיפות מקומות עבודה לשנת 2030 - ארצי
38|0|206|dataset|2022-04-03|מדד חוף נקי|ministry_of_the_environment|No|Year|1|3|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||מדד חוף נקי הוא כלי המשמש להערכה אחידה ואובייקטיבית של מידת ניקיון חופי הארץ הלא מוכרזים, בים התיכון ובמפרץ אילת.המדד מספק מידע שקוף ועדכני על מצב הניקיון בחופים אלו ומסייע לפעילות האכיפה של המשרד להגנת הסביבה, מול רשויות שלא מבצעות את חובתן בשמירה על ניקיון חופיהן.
