n|rsc|name|format|dateCr|dateMo|id|size
0|02|מאגר מחקרים מאוחד 2012-2022|CSV|2022-05-25|2023-02-13|5a99a36e-1222-4ca9-b881-37409c67fd79|580561
2|04|הסכמי שיתוף פעולה בינלאומיים בתחום המדע|CSV|2019-11-11|2019-11-11|96c792d5-d33c-472d-8bf3-ef6d59dfc4c8|1455
3|05|מדינות - הסכמי שיתוף פעולה מדעי דו-לאומי|XLSX|2017-11-15|2017-11-20|e78841f7-aeb5-413a-a609-5842897f9b0a|None
4|06|חברי המועצה לקידום נשים במדע ובטכנולוגיה|XLSX|2017-11-15|2017-11-15|c9ae96f3-1cbe-46ff-a759-fe938edea56c|None
5|062019|אומדן ביצוע תקציב ליום 30 ביוני 2019 לא מבוקר.xlsx|XLSX|2019-08-15|2019-08-15|6f5fa994-3104-46a7-b9f0-437a60bd5407|46234
6|14|מלגות עידוד לנשים ללימודי הנדסת אלקטרואופטיקה וביואינפורמטיקה|CSV|2019-11-11|2019-11-11|55a7aba5-49b7-49a3-a1b0-4abdccf0135a|9378
9|19|חוגי מדע|XLSX|2017-11-15|2017-11-20|34c19798-754e-42ba-b877-6ce782b1439e|None
11|20|חוגי מדע -דרכי התקשרות עם מפעילי החוגים|XLSX|2017-11-15|2017-11-15|a59f548a-cbc6-4bf4-85d6-c889e2f5ff6e|None
13|2004-1997|תקציב וביצוע 2004-1997 כולל התחיבויות|XLSX|2017-01-02|2017-01-02|d373fc09-a088-4d4e-817a-161f943b03c5|None
18|2007|שינויי תקציב 2007|XLSX|2015-12-28|2015-12-28|be634955-fce4-4733-ab88-29e59d9392d0|None
18|2007|הסברים|ZIP|2015-12-28|2015-12-28|77149e3b-1e62-45ca-9e3f-dc2968e23218|None
19|2008|שינויי תקציב 2008|XLSX|2015-12-28|2015-12-28|c8fc2904-0f0d-4327-8a61-2265a9992218|None
19|2008|הסברים|ZIP|2015-12-28|2015-12-28|2a498c62-ca97-4c29-a60f-2e28a0da0b15|None
20|2009|שינויי תקציב 2009|XLSX|2015-12-28|2015-12-28|1bc22ac7-04db-4ec2-b626-007ac9f1e474|None
20|2009|הסברים|ZIP|2015-12-28|2015-12-28|022cc7bd-75e2-45fe-824f-bdd0ed3a8a33|None
37|2030|TAZ_JOB_DENS_2030_SHP|ZIP|2019-09-04|2019-09-04|da39d422-3980-48dd-8ec2-3f9d3fdc9200|1527196
37|2030|TAZ_JOB_DENS_2030_KML|ZIP|2019-09-18|2019-09-18|6d32e0a6-6a86-49ea-bb84-194110bccf66|2176676
37|2030|TAZ_JOB_DENS_2030_csv|CSV|2019-09-18|2019-09-18|11eb5ea7-8e3c-4c16-bb24-aaad5e16756f|22669
37|2030|מטאדאטה|PDF|2020-11-02|2020-11-02|35ace936-1745-4203-8afa-53708b46947c|163193
38|206|נתוני מדד חוף נקי|XLSX|2015-12-10|2022-04-03|b9c5393a-430f-457e-b5c7-93139186024f|1860233
39|209|רשימת עמותות וארגונים למען בעלי חיים|XLS|2015-12-08|2020-07-26|de991a4e-65d9-4f83-bac9-1090a74cd062|4512
40|21|מרכזי פר"ח לחונכות מדעים|XLSX|2017-11-15|2017-11-15|ac596ca9-43d3-4321-a6a7-2f0f66560921|None
41|257|פרסום מידע תעופתי פנים ארצי|RSS|2015-12-10|--|2c85a557-f14f-4b2e-bab1-ebf82327e1d3|None
42|258|מאגר דוחות חקירה בטיחותיים|RSS|2015-12-10|--|c4c74af1-107e-4cb1-a207-3b492f2aa924|None
43|276|חנויות ומסעדות בנתב"ג|CSV|2015-12-28|2015-12-28|9cc1be06-79e0-4f9b-b7a6-ad9af1293cc0|None
44|278|כתובות של שדות תעופה ומעברי גבול|CSV|2015-12-28|2015-12-28|4e8e8c11-5c97-4412-a3fd-1eb862eed668|None
45|280|סטטיסטיקה מעברי גבול|CSV|2015-12-28|2015-12-28|30663d4f-3f1d-4579-b08e-e72d00650798|None
46|285|רשימת סניפי ביטוח לאומי|XLS|2015-12-09|2015-12-09|cd822572-a32b-4ca5-9817-9ff4d0bc3cb8|None
47|287|הסכום הבסיסי לחישוב קיצבאות|XLS|2015-12-09|2015-12-09|62635bdd-3ffd-4ae5-90ca-ebf492aa661f|None
48|288|שכר מינימום|XLSX|2015-12-09|--|abc69039-d84c-4b13-9a64-06702e69ccac|None
49|289|שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח|XLS|2015-12-09|2015-12-09|50c34efd-34eb-4d40-b142-efeafa00fd64|None
50|29|most.DB.29.csv|CSV|2018-12-25|2018-12-25|9a9e7385-6c02-495f-b7ac-1be25d46bb5e|12278
51|290|שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח|XLS|2015-12-09|2015-12-09|537b01ef-bf5a-402c-a9ca-de031b7624d8|None
52|291|שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח|XLS|2015-12-09|2015-12-09|453cbd07-12ca-44f8-88d6-176aaca2ae51|None
53|292|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק|XLS|2015-12-09|2015-12-09|cb0a059f-ed48-4624-947a-36916e75de7e|None
54|293|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי|XLS|2015-12-09|2015-12-09|a6b34be6-6568-49b7-89fc-53ab8ae7a9f1|None
55|294|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עובד |XLS|2015-12-09|2015-12-09|19812058-182e-471f-90db-782955fee9f5|None
63|321|רשימת רחובות בישראל - מתעדכן|CSV|2020-03-03|2023-03-19|9ad3862c-8391-4b2f-84a4-2d4c68625f4b|1791478
63|321|רשימת רחובות ישראל - מתעדכן|XML|2020-03-03|2023-03-19|d04feead-6431-427f-81bc-d6a24151c1fb|7641623
63|321|רשימת רחובות ישראל|XML|2015-12-13|2019-04-02|4bc8ec43-08dd-4dc3-a6ab-bd52e137fb8c|9413141
63|321|רשימת רחובות ישראל|CSV|2015-12-13|2019-04-02|a7296d1a-f8c9-4b70-96c2-6ebb4352f8e3|2873025
63|321|רשימת רחובות בישראל|CSV|2019-05-02|2019-05-02|fbaa54f1-0ede-4343-a3f4-69c074cdfdcf|2873027
63|321|רחובות בישראל|XML|2019-05-02|2019-05-02|8df60acb-8786-49ea-8837-eb404c04959f|9413143
63|321|רשימת רחובות ישראל|CSV|2019-06-12|2019-06-12|3c318d87-b56a-49f6-b532-d9aa87d85a9a|2878512
63|321|רשימת רחובות ישראל|XML|2019-06-12|2019-06-12|bad3ce92-86cd-4e0b-b53e-c62baf195cc6|9431201
63|321|רשימת רחובות ישראל|XML|2019-07-02|2019-07-02|cba8c839-898a-4c65-aaeb-9584bac90901|9504871
63|321|רשימת רחובות ישראל|CSV|2019-07-02|2019-07-02|562d6e66-c902-4631-9ebe-a02d32d5c6bc|2900620
63|321|רשימת רחובות ישראל|CSV|2019-09-02|2019-09-02|c5c0259c-175f-44a2-a00d-3eaea5302741|2900625
63|321|רשימת רחובות ישראל|XML|2019-09-02|2019-09-02|4da33856-dfd5-4bb6-9cf7-0a5827fad419|9504876
63|321|רשימת רחובות ישראל|XML|2019-10-30|2019-10-30|51f50d88-210b-4f18-a3d2-31fa7090439d|9504876
63|321|רשימת רחובות בישראל|CSV|2019-10-30|2019-10-30|0f26cb4a-3f56-4e00-9e13-049294deb13b|2900625
63|321|רשימת רחובות בישראל|XML|2019-11-03|2019-11-03|e234f7f3-3a2f-4922-ba30-6d06f2007cf7|9540858
63|321|רשימת רחובות בישראל|CSV|2019-11-03|2019-11-03|8f3248b8-15c4-4af3-8f2c-b1267d3c1c8e|2911461
63|321|רשימת רחובות בישראל|CSV|2019-12-02|2019-12-02|b40e1955-3647-4a6b-b60a-172cf951a93a|2920456
63|321|רשימת רחובות בישראל|XML|2019-12-02|2019-12-02|9713f34e-d80a-4412-a6cb-eec49277cc76|9569792
