start: 2022-09-09 09:25:46
n - Package - success  - n1 - n2
0 - 02 - True - 5 - 5
1 - 03 - True - 10 - 10
2 - 04 - True - 6 - 6
3 - 05 - True - 6 - 6
4 - 06 - True - 6 - 6
5 - 062019 - True - 1 - 1
6 - 14 - True - 6 - 6
7 - 17 - True - 85 - 10
8 - 18 - True - 16 - 10
9 - 19 - True - 8 - 8
10 - 1minrain - True - 132 - 10
11 - 20 - True - 10 - 10
12 - 2002-31-10-2016 - True - 83 - 10
13 - 2004-1997 - True - 8 - 8
14 - 2005 - True - 10 - 10
15 - 2005-2008 - True - 13 - 10
16 - 2005-2011 - True - 21 - 10
17 - 2006 - True - 12 - 10
18 - 2007 - True - 10 - 10
19 - 2008 - True - 8 - 8
20 - 2009 - True - 14 - 10
21 - 2009-2011 - True - 24 - 10
22 - 2009-2018 - True - 67 - 10
23 - 2010 - True - 16 - 10
24 - 2010-2019 - True - 66 - 10
25 - 2011 - True - 17 - 10
26 - 2012-2005 - True - 36 - 10
27 - 2013 - True - 20 - 10
28 - 2014 - True - 21 - 10
29 - 2015-2013 - True - 130 - 10
30 - 2017 - True - 46 - 10
31 - 2017-2018 - True - 89 - 10
32 - 2018 - True - 58 - 10
33 - 2018-2017 - True - 89 - 10
34 - 2019infrastructure - True - 55 - 10
35 - 2020 - True - 58 - 10
36 - 2021 - True - 35 - 10
37 - 2030 - True - 3 - 3
38 - 206 - True - 1 - 1
39 - 209 - True - 1 - 1
40 - 21 - True - 11 - 10
41 - 257 - True - 1 - 1
42 - 258 - True - 1 - 1
43 - 276 - True - 1 - 1
44 - 278 - True - 1 - 1
45 - 280 - True - 1 - 1
46 - 285 - True - 1 - 1
47 - 287 - True - 1 - 1
48 - 288 - True - 1 - 1
49 - 289 - True - 2 - 2
50 - 29 - True - 2 - 2
51 - 290 - True - 1 - 1
52 - 291 - True - 1 - 1
53 - 292 - True - 1 - 1
54 - 293 - True - 1 - 1
55 - 294 - True - 1 - 1
56 - 30 - True - 19 - 10
57 - 30-2021 - True - 50 - 10
58 - 30-9-2021 - True - 52 - 10
59 - 31-2021 - True - 46 - 10
60 - 31-2022 - True - 39 - 10
61 - 321 - True - 1 - 1
62 - 334 - True - 1 - 1
63 - 335 - True - 1 - 1
64 - 343 - True - 1 - 1
65 - 345 - True - 1 - 1
66 - 348 - True - 1 - 1
67 - 350 - True - 1 - 1
68 - 351 - True - 1 - 1
69 - 352 - True - 1 - 1
70 - 353 - True - 1 - 1
71 - 354new - True - 5 - 5
72 - 355new - True - 5 - 5
73 - 356 - True - 1 - 1
74 - 357 - True - 1 - 1
